frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,50,20.0,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,167,109,16,15
25,50,30.0,b1e1a7b8-b397c445,340,faster_rcnn_inception_v2_coco_2018_01_28,434,12,4,13
25,50,30.0,b1e1a7b8-b397c445,700,faster_rcnn_inception_v2_coco_2018_01_28,442,3,5,0
25,50,30.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,341,62,47,36
25,50,30.0,b1e1a7b8-b397c445,340,ssd_inception_v2_coco_2018_01_28,291,1,0,5
25,50,30.0,b1e1a7b8-b397c445,700,ssd_inception_v2_coco_2018_01_28,287,5,0,5
25,50,30.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,209,68,15,22
25,50,40.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,443,4,3,6
25,50,40.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,436,11,3,11
25,50,40.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,284,8,0,5
25,50,40.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,292,0,0,3
25,50,50.0,b1e1a7b8-b397c445,340,faster_rcnn_inception_v2_coco_2018_01_28,363,54,33,28
25,50,50.0,b1e1a7b8-b397c445,520,faster_rcnn_inception_v2_coco_2018_01_28,429,12,9,11
25,50,50.0,b1e1a7b8-b397c445,760,faster_rcnn_inception_v2_coco_2018_01_28,410,21,19,12
25,50,50.0,b1e1a7b8-b397c445,340,ssd_inception_v2_coco_2018_01_28,221,57,14,17
25,50,50.0,b1e1a7b8-b397c445,520,ssd_inception_v2_coco_2018_01_28,274,13,5,5
25,50,50.0,b1e1a7b8-b397c445,760,ssd_inception_v2_coco_2018_01_28,254,26,12,4
25,75,0.1,b1e1a7b8-b397c445,380,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,2
25,75,0.1,b1e1a7b8-b397c445,420,faster_rcnn_inception_v2_coco_2018_01_28,418,19,13,12
25,75,0.1,b1e1a7b8-b397c445,440,faster_rcnn_inception_v2_coco_2018_01_28,439,6,5,5
25,75,0.1,b1e1a7b8-b397c445,380,ssd_inception_v2_coco_2018_01_28,291,1,0,1
25,75,0.1,b1e1a7b8-b397c445,420,ssd_inception_v2_coco_2018_01_28,257,23,12,8
25,75,0.1,b1e1a7b8-b397c445,440,ssd_inception_v2_coco_2018_01_28,292,0,0,2
25,75,1.0,b1e1a7b8-b397c445,360,faster_rcnn_inception_v2_coco_2018_01_28,365,47,38,14
25,75,1.0,b1e1a7b8-b397c445,380,faster_rcnn_inception_v2_coco_2018_01_28,397,27,26,30
25,75,1.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,433,12,5,13
25,75,1.0,b1e1a7b8-b397c445,620,faster_rcnn_inception_v2_coco_2018_01_28,326,74,50,24
25,75,1.0,b1e1a7b8-b397c445,360,ssd_inception_v2_coco_2018_01_28,198,77,17,5
25,75,1.0,b1e1a7b8-b397c445,380,ssd_inception_v2_coco_2018_01_28,216,59,17,10
25,75,1.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,252,30,10,3
25,75,1.0,b1e1a7b8-b397c445,620,ssd_inception_v2_coco_2018_01_28,88,192,12,4
25,75,5.0,b1e1a7b8-b397c445,360,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,2
25,75,5.0,b1e1a7b8-b397c445,380,faster_rcnn_inception_v2_coco_2018_01_28,406,28,16,10
25,75,5.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,449,1,0,1
25,75,5.0,b1e1a7b8-b397c445,640,faster_rcnn_inception_v2_coco_2018_01_28,233,144,73,30
25,75,5.0,b1e1a7b8-b397c445,360,ssd_inception_v2_coco_2018_01_28,290,2,0,1
25,75,5.0,b1e1a7b8-b397c445,380,ssd_inception_v2_coco_2018_01_28,239,42,11,9
25,75,5.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,75,5.0,b1e1a7b8-b397c445,640,ssd_inception_v2_coco_2018_01_28,46,239,7,1
25,75,10.0,b1e1a7b8-b397c445,420,faster_rcnn_inception_v2_coco_2018_01_28,427,13,10,9
25,75,10.0,b1e1a7b8-b397c445,680,faster_rcnn_inception_v2_coco_2018_01_28,255,123,72,33
25,75,10.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,447,3,0,2
25,75,10.0,b1e1a7b8-b397c445,420,ssd_inception_v2_coco_2018_01_28,255,28,9,7
25,75,10.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,46,238,8,1
25,75,10.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,291,1,0,1
25,75,15.0,b1e1a7b8-b397c445,280,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,2
25,75,15.0,b1e1a7b8-b397c445,320,faster_rcnn_inception_v2_coco_2018_01_28,314,88,48,53
25,75,15.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,389,26,35,28
25,75,15.0,b1e1a7b8-b397c445,280,ssd_inception_v2_coco_2018_01_28,289,3,0,1
25,75,15.0,b1e1a7b8-b397c445,320,ssd_inception_v2_coco_2018_01_28,83,195,14,6
25,75,15.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,250,26,16,14
25,75,20.0,b1e1a7b8-b397c445,540,faster_rcnn_inception_v2_coco_2018_01_28,438,8,4,7
25,75,20.0,b1e1a7b8-b397c445,560,faster_rcnn_inception_v2_coco_2018_01_28,262,123,65,32
25,75,20.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,243,121,86,37
25,75,20.0,b1e1a7b8-b397c445,760,faster_rcnn_inception_v2_coco_2018_01_28,449,1,0,0
25,75,20.0,b1e1a7b8-b397c445,540,ssd_inception_v2_coco_2018_01_28,274,13,5,3
25,75,20.0,b1e1a7b8-b397c445,560,ssd_inception_v2_coco_2018_01_28,60,224,8,2
25,75,20.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,67,218,7,6
25,75,20.0,b1e1a7b8-b397c445,760,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,75,40.0,b1e1a7b8-b397c445,360,faster_rcnn_inception_v2_coco_2018_01_28,442,4,4,3
25,75,40.0,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,432,12,6,10
25,75,40.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,444,3,3,2
25,75,40.0,b1e1a7b8-b397c445,680,faster_rcnn_inception_v2_coco_2018_01_28,333,66,51,39
25,75,40.0,b1e1a7b8-b397c445,360,ssd_inception_v2_coco_2018_01_28,282,10,0,7
25,75,40.0,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,288,3,1,3
25,75,40.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,281,11,0,5
25,75,40.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,183,84,25,18
