frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
750,32,20.0,VIRAT_S_010208_10_000904_000991,3,ssd_inception_v2_coco_2018_01_28,221,16,0,22
750,200,5.0,VIRAT_S_010110_06_000953_001011,7,faster_rcnn_inception_v2_coco_2018_01_28,1800,881,569,42
511,32,1.0,VIRAT_S_010110_06_000953_001011,0,ssd_inception_v2_coco_2018_01_28,1003,402,10,11
750,200,40.0,VIRAT_S_010203_00_000047_000139,8,ssd_inception_v2_coco_2018_01_28,40,251,3,1
259,75,20.0,VIRAT_S_010204_07_000942_000989,8,faster_rcnn_inception_v2_coco_2018_01_28,460,103,5,6
259,200,40.0,VIRAT_S_000205_02_000409_000566,4,ssd_inception_v2_coco_2018_01_28,22,5308,2,3
750,200,5.0,VIRAT_S_010205_04_000545_000576,0,faster_rcnn_inception_v2_coco_2018_01_28,45,79,0,65
511,200,5.0,VIRAT_S_050000_11_001530_001576,7,faster_rcnn_inception_v2_coco_2018_01_28,971,502,301,24
25,32,1.0,VIRAT_S_010208_07_000768_000791,7,ssd_inception_v2_coco_2018_01_28,51,0,0,0
25,75,5.0,VIRAT_S_010208_08_000807_000831,6,faster_rcnn_inception_v2_coco_2018_01_28,130,1,0,0
259,200,20.0,VIRAT_S_040104_04_000854_000934,9,faster_rcnn_inception_v2_coco_2018_01_28,1026,418,345,435
259,200,40.0,VIRAT_S_050000_11_001530_001576,5,faster_rcnn_inception_v2_coco_2018_01_28,710,765,299,60
25,75,20.0,VIRAT_S_010208_10_000904_000991,3,faster_rcnn_inception_v2_coco_2018_01_28,1016,3,1,1
259,200,1.0,VIRAT_S_010205_04_000545_000576,9,ssd_inception_v2_coco_2018_01_28,10,4,0,4
511,200,10.0,VIRAT_S_040103_08_001475_001512,0,faster_rcnn_inception_v2_coco_2018_01_28,525,373,11,151
259,200,20.0,VIRAT_S_010208_02_000150_000180,7,faster_rcnn_inception_v2_coco_2018_01_28,275,94,0,1
259,200,10.0,VIRAT_S_010200_01_000254_000322,2,faster_rcnn_inception_v2_coco_2018_01_28,530,25,6,13
511,32,5.0,VIRAT_S_010208_07_000768_000791,8,ssd_inception_v2_coco_2018_01_28,56,1,0,6
511,32,40.0,VIRAT_S_010200_01_000254_000322,0,faster_rcnn_inception_v2_coco_2018_01_28,534,24,3,101
511,32,10.0,VIRAT_S_050000_11_001530_001576,9,ssd_inception_v2_coco_2018_01_28,468,249,69,8
